time,temp,OXY_oxy,NIT_nit,NIT_amm,PHS_frp,SIL_rsi,OGM_doc,PHY_TCHLA,NRMSE
2023-11-12 06:59:13,-28074.5620229055,-23080545.851715,-179803.340168939,-469429.599084624,-10871.3482488919,-976646.28695866,-59783399.5031167,-176564.908692012,2.05575553399331
2023-11-12 06:57:44,-20756.2472011312,-32987416.057338,-121612.580413516,-476589.664131992,-12835.0351097836,-491206.152192557,-2819755.84939756,-36052.7455756433,1.33538878003421
2023-11-12 06:56:16,-28669.9866366996,-17177176.1786537,-115847.337846813,-455885.239078773,-12257.2938449243,-427267.559532333,-5773994.57489974,-53303.6916165195,1.36147284958225
2023-11-12 06:54:49,-36941.606206104,-28870561.1570345,-65567.4112173847,-470812.829696962,-12425.2913955232,-434673.748282122,-2954790.12986066,-31089.5934468076,1.29312363741897
2023-11-12 06:53:20,-17513.405196879,-24731713.5733067,-85493.1725054916,-473856.480768293,-12873.1109767505,-451616.438573356,-6364618.12460649,-58571.7328157282,1.37053824119014
2023-11-12 06:51:52,-53740.5351600755,-26512627.7443978,-75352.6279553213,-470543.666630054,-12561.4206322167,-425707.390749682,-2407557.54324218,-48843.6356434227,1.36224408770056
2023-11-12 06:50:23,-10609.8711904122,-46162434.8931067,-118141.42366839,-480247.270863175,-13272.0810078136,-460025.735589315,-2887207.33298293,-50402.0915701149,1.36667117886326
2023-11-12 06:48:52,-13269.5355730391,-59379310.2153204,-92562.7580823879,-477993.27160097,-13200.4400870264,-474760.577966488,-2996133.72537072,-36250.5311688325,1.36186173538297
2023-11-12 06:47:25,-11904.3014578157,-39442629.0605211,-97607.772766374,-475407.419461193,-13087.1332574736,-459856.627611887,-2750414.93245481,-42957.8375552116,1.31797311511371
2023-11-12 06:45:57,-49788.5453640111,-15368911.8781782,-91504.4578245194,-454812.119909556,-12062.5681620066,-423078.445534023,-5094057.65005069,-45555.6057891096,1.35160993022475
2023-11-12 06:44:29,-9635.64241309013,-39200830.7185935,-113374.66591066,-484993.153520911,-13227.6419295768,-485409.042892392,-3131862.86848842,-36244.322981858,1.31475000873219
2023-11-12 06:43:01,-29283.0888853088,-21105870.382462,-84707.9510247719,-469183.634093224,-12136.3258961928,-440904.31310364,-3731778.85050667,-41185.5730684456,1.30438995446944
2023-11-12 06:41:34,-47673.7367307701,-16765355.7594694,-85920.414596776,-467274.351389041,-12427.1713464827,-438608.15661279,-3899113.64118733,-34768.2929044767,1.31210860836565
2023-11-12 06:40:06,-11792.9577064833,-29213173.2994682,-83016.8346500411,-470856.3683546,-12916.9645629794,-464112.6192716,-3358968.74601308,-38533.8507710265,1.27358653230059
2023-11-12 06:38:41,-47482.0373754921,-27506482.3373149,-55197.499605309,-470653.673025817,-12355.059054241,-426301.311771522,-2556819.19214582,-28823.5102055265,1.28363832763653
